,BLOCK_E,BLOCK_N,batch_size,seq_len,hidden_dim,normal_decode_ms,dense_bmm_ms,cusparse_decode_ms,cusparse_kernel_ms,triton_decode_ms,triton_kernel_ms
46,128,256,128,128,768,47.40300750732422,48218.113,84.1533432006836,84945.923,10934.1435546875,10935667.969
47,128,256,256,128,768,99.8318099975586,100756.477,152.28416442871094,153212.921,41.65324783325195,42628.098
48,256,32,1,128,768,0.6952959895133972,3245.024,204.94131469726562,206053.375,35292.37890625,35293546.875
49,256,32,4,128,768,1.8585599660873413,2845.728,7.243775844573975,8219.648,30830.626953125,30831775.391
50,256,32,8,128,768,3.3914880752563477,4336.64,5.483551979064941,6398.976,6.770688056945801,7499.776
51,256,32,16,128,768,6.240255832672119,6921.216,9.326623916625977,10021.952,13.784064292907715,14592.0
52,256,32,32,128,768,12.364800453186035,13117.408,18.310144424438477,19012.608,53.31865692138672,54047.775
53,256,32,64,128,768,22.72972869873047,23484.512,35.198974609375,35969.952,119.1546859741211,119951.363
54,256,32,128,128,768,47.41734313964844,48283.649,73.78329467773438,74553.345,32074.0625,32075412.109
55,256,32,256,128,768,93.51363372802734,94816.254,152.3240966796875,153290.756,542.26123046875,543319.031
56,256,128,1,128,768,0.6973440051078796,1800.192,192.96153259277344,194359.299,30248.025390625,30249201.172
57,256,128,4,128,768,1.8421759605407715,2765.824,6.031360149383545,6960.128,30462.865234375,30464044.922
58,256,128,8,128,768,3.3822720050811768,4418.56,5.537792205810547,6539.264,2.2507519721984863,3018.752
59,256,128,16,128,768,6.246399879455566,7056.384,9.561087608337402,10348.544,3.451904058456421,4106.24
60,256,128,32,128,768,12.361727714538574,13214.72,18.154495239257812,18952.192,12.859392166137695,13737.984
61,256,128,64,128,768,24.534015655517578,25366.528,34.995201110839844,35775.49,26.75712013244629,27664.385
62,256,128,128,128,768,46.912513732910156,47886.337,73.07878112792969,73926.659,33327.4453125,33328843.75
63,256,128,256,128,768,92.82662200927734,93821.953,148.8353271484375,149805.054,124.08831787109375,126449.661
64,256,256,1,128,768,0.6973440051078796,2020.352,139.22303771972656,140439.545,33248.28125,33249464.844
65,256,256,4,128,768,1.8606079816818237,2854.912,6.178815841674805,7146.496,29584.21484375,29585656.25
66,256,256,8,128,768,3.378175973892212,4357.12,5.494783878326416,6577.152,1.6312320232391357,2482.176
67,256,256,16,128,768,6.245376110076904,7044.096,9.296895980834961,10091.52,2.120703935623169,2980.864
68,256,256,32,128,768,12.372991561889648,13193.248,18.312192916870117,19164.16,7.512063980102539,8322.048
69,256,256,64,128,768,24.619007110595703,25447.424,37.945343017578125,38822.91,12.023903846740723,12894.208
70,256,256,128,128,768,47.455230712890625,48370.689,73.10336303710938,73907.204,30863.001953125,30864287.109
71,256,256,256,128,768,98.04902648925781,99232.765,151.61856079101562,152647.675,48.64204788208008,49659.904
